"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"theta[168]",0.1868,0.6259,-0.9625,-0.2428,0.1605,0.5868,1.5021,1.0051,750
"theta[169]",0.315,0.5716,-0.7745,-0.0726,0.3187,0.684,1.459,1.0009,5000
"theta[170]",0.4386,0.6574,-0.7838,-0.0139,0.4294,0.868,1.816,1.0008,5000
"theta[171]",1.0064,0.5385,-0.0054,0.6315,0.9929,1.3609,2.122,1.0008,5000
"theta[172]",-1.6172,0.4527,-2.4893,-1.9214,-1.6192,-1.319,-0.7281,1.0031,650
"theta[173]",-0.5168,0.4838,-1.4386,-0.8393,-0.5258,-0.1989,0.4654,1.0018,1500
"theta[174]",-2.267,0.3719,-2.9854,-2.5305,-2.2699,-2.01,-1.5458,1.0009,5000
"theta[175]",0.8801,0.6904,-0.393,0.4063,0.8648,1.3284,2.2804,1.0022,1100
"theta[176]",0.4656,0.595,-0.6398,0.0567,0.4524,0.8602,1.627,1.0009,5000
"theta[177]",0.8172,0.6157,-0.3307,0.3915,0.787,1.2216,2.0891,1.0009,5000
"theta[178]",-1.4094,0.4441,-2.2931,-1.7037,-1.4133,-1.1215,-0.5128,1.0019,2800
"theta[179]",-1.0019,0.4584,-1.8721,-1.3185,-1.0118,-0.6969,-0.0645,1.0008,5000
"theta[180]",0.4368,0.678,-0.795,-0.0577,0.4114,0.8835,1.8248,1.0017,3600
"theta[181]",0.4021,0.6033,-0.7165,-0.0052,0.3793,0.7825,1.6555,1.0008,5000
"theta[182]",0.7556,0.7484,-0.5885,0.2293,0.7112,1.2467,2.2742,1.0035,990
"theta[183]",-1.0739,0.4926,-1.9774,-1.4199,-1.0875,-0.7506,-0.049,1.0008,5000
"theta[184]",-0.6672,0.4702,-1.5671,-0.9917,-0.6797,-0.3471,0.2608,1.0011,5000
"theta[185]",-0.8705,0.4308,-1.6886,-1.1629,-0.877,-0.578,-0.0164,1.0008,5000
"theta[186]",-0.5356,0.4993,-1.4859,-0.8821,-0.5334,-0.2062,0.4546,1.0029,710
"theta[187]",-0.2133,0.5111,-1.1703,-0.5642,-0.2185,0.1245,0.8079,1.0009,5000
"theta[188]",1.2522,0.6586,0.0204,0.7983,1.2402,1.7019,2.5653,1.002,1300
"theta[189]",-0.1377,0.5081,-1.1021,-0.4755,-0.1466,0.1808,0.9126,1.0054,330
"theta[190]",-0.2866,0.5534,-1.2994,-0.6755,-0.3147,0.0784,0.8301,1.0025,870
"theta[191]",0.8428,0.675,-0.3823,0.3658,0.8158,1.2878,2.2503,1.002,1300
"theta[192]",0.8303,0.676,-0.4006,0.3536,0.8056,1.2808,2.2335,1.0023,1000
"theta[193]",-1.1248,0.4628,-1.9947,-1.4418,-1.1342,-0.8185,-0.1834,1.0008,5000
"theta[194]",0.5714,0.5505,-0.4512,0.2059,0.5539,0.9219,1.6972,1.0008,5000
"theta[195]",-1.7801,0.3944,-2.5469,-2.0379,-1.7876,-1.5203,-0.9769,1.0019,1300
"theta[196]",1.1873,0.6461,-0.0307,0.7397,1.1649,1.5993,2.5248,1.0042,440
"theta[197]",-0.2286,0.5542,-1.2507,-0.6122,-0.2515,0.1352,0.9215,1.001,5000
"theta[198]",0.3904,0.6033,-0.7657,-0.0191,0.3556,0.7924,1.645,1.0008,5000
"theta[199]",-0.6024,0.4887,-1.5304,-0.9444,-0.6138,-0.287,0.383,1.0009,5000
"theta[200]",-1.2627,0.4304,-2.0974,-1.5584,-1.2645,-0.9808,-0.4129,1.003,680
"theta[201]",0.8158,0.741,-0.5024,0.281,0.7605,1.2996,2.3854,1.0013,3200
"theta[202]",-0.5278,0.4491,-1.3783,-0.8356,-0.5401,-0.2292,0.3929,1.0023,990
"theta[203]",0.5512,0.5374,-0.4702,0.1806,0.5299,0.9176,1.6191,1.0008,5000
"theta[204]",1.4432,0.736,0.0384,0.9298,1.4359,1.9461,2.8859,1.0012,3800
"theta[205]",-0.2582,0.5644,-1.2932,-0.6582,-0.2734,0.1079,0.9192,1.0024,950
"theta[206]",-0.5217,0.4956,-1.4837,-0.8544,-0.5257,-0.2043,0.4921,1.001,5000
"theta[207]",0.7981,0.7545,-0.6022,0.2775,0.7553,1.282,2.3507,1.0012,3900
"theta[208]",-0.1128,0.4857,-1.034,-0.4397,-0.1281,0.219,0.8408,1.0008,5000
"theta[209]",-0.7055,0.433,-1.5485,-0.9953,-0.7188,-0.4183,0.1757,1.0012,3800
"theta[210]",0.1866,0.6078,-0.9235,-0.2351,0.1654,0.5652,1.4905,1.0023,990
"theta[211]",1.2568,0.5684,0.1998,0.8696,1.2494,1.6274,2.4012,1.0023,1000
"theta[212]",-0.2151,0.5124,-1.2042,-0.5541,-0.2276,0.1058,0.8352,1.0013,3400
"theta[213]",0.3706,0.6405,-0.8025,-0.0699,0.3445,0.7942,1.7279,1.001,5000
"theta[214]",0.6105,0.6721,-0.655,0.1583,0.5901,1.043,2.014,1.0009,5000
"theta[215]",-0.7809,0.4365,-1.6342,-1.0734,-0.7864,-0.4976,0.0807,1.0017,1800
"theta[216]",-0.195,0.4883,-1.1007,-0.5268,-0.2062,0.1349,0.794,1.0014,2300
"theta[217]",0.1465,0.633,-1.0103,-0.2889,0.1069,0.5444,1.5172,1.0051,350
"theta[218]",1.101,0.7469,-0.2782,0.5832,1.0715,1.5755,2.6509,1.003,670
"theta[219]",1.571,0.683,0.257,1.1132,1.5625,2.0133,2.9396,1.0032,620
"theta[220]",0.131,0.5851,-0.9675,-0.2714,0.1202,0.5171,1.3392,1.0019,1400
"theta[221]",0.2898,0.4805,-0.6193,-0.0222,0.2716,0.6132,1.2636,1.0016,5000
