"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"theta[228]",-1.4133,0.4129,-2.2029,-1.6895,-1.4204,-1.1166,-0.6243,1.0005,1500
"theta[229]",0.1671,0.3598,-0.5507,-0.0729,0.1645,0.4003,0.8516,1.0014,1400
"theta[230]",-0.1164,0.3279,-0.7888,-0.3276,-0.1094,0.1123,0.5031,1.0011,1500
"theta[231]",0.0139,0.3502,-0.718,-0.2053,0.015,0.2424,0.6636,1.0049,410
"theta[232]",0.7922,0.3791,0.0589,0.5368,0.7912,1.0331,1.5649,1.0015,1500
"theta[233]",-0.1561,0.3549,-0.8411,-0.3882,-0.1567,0.075,0.5127,1.0013,1500
"theta[234]",1.0581,0.3959,0.3338,0.796,1.0359,1.3056,1.9086,1.0014,1500
"theta[235]",-0.1949,0.3683,-0.9209,-0.4385,-0.1901,0.049,0.4917,1.001,1500
"theta[236]",-0.5958,0.3719,-1.3266,-0.8466,-0.5899,-0.3388,0.1074,1,1500
"theta[237]",1.1295,0.436,0.3462,0.8254,1.1165,1.3991,2.0052,1.0017,1500
"theta[238]",0.211,0.344,-0.4642,-0.0351,0.2142,0.4534,0.8732,1.0001,1500
"theta[239]",-0.0824,0.365,-0.8074,-0.3201,-0.0683,0.1559,0.6078,1.0014,1400
"theta[240]",-0.7054,0.3614,-1.4221,-0.9551,-0.7001,-0.4665,0.0106,1.0003,1500
"theta[241]",0.4224,0.3406,-0.2141,0.1798,0.4138,0.6488,1.1158,1.0027,1200
"theta[242]",1.8511,0.5666,0.8468,1.4691,1.7858,2.1813,3.051,1,1500
"theta[243]",0.4221,0.34,-0.2382,0.195,0.4114,0.6515,1.1013,1.0015,1300
"theta[244]",1.4356,0.6144,0.3636,1.0122,1.3781,1.8024,2.7626,1.0007,1500
"theta[245]",-1.7623,0.4196,-2.6037,-2.0486,-1.7695,-1.46,-0.952,1.0004,1500
"theta[246]",1.036,0.4134,0.2612,0.7594,1.0245,1.3025,1.8846,1.0008,1500
"theta[247]",0.4237,0.3469,-0.2535,0.2045,0.4241,0.6428,1.1261,1.0009,1500
"theta[248]",0.578,0.3892,-0.1557,0.3114,0.5656,0.8354,1.348,1.0039,510
"theta[249]",-0.4634,0.3521,-1.1792,-0.6979,-0.4559,-0.2212,0.209,1.0014,1400
"theta[250]",0.7003,0.4111,-0.0888,0.4234,0.688,0.9547,1.5862,1.0009,1500
"theta[251]",1.4557,0.5968,0.4562,1.0369,1.3936,1.8282,2.8156,1.0006,1500
"theta[252]",-0.588,0.3636,-1.3104,-0.8243,-0.5868,-0.344,0.1177,1.0009,1500
"theta[253]",1.4906,0.575,0.4798,1.098,1.468,1.8517,2.7045,1.0034,590
"theta[254]",-2.3572,0.4649,-3.3295,-2.6731,-2.3351,-2.0278,-1.4854,1.002,1500
"theta[255]",0.7695,0.3881,0.0439,0.4945,0.7538,1.01,1.5598,1.0029,700
"theta[256]",1.0825,0.4002,0.3515,0.8095,1.0649,1.3439,1.9136,1.0008,1500
"theta[257]",-0.7149,0.3628,-1.47,-0.9559,-0.705,-0.4723,-0.003,1.0007,1500
"theta[258]",-0.3458,0.3438,-1.0418,-0.5753,-0.3422,-0.1228,0.3231,1.0015,1400
"theta[259]",-0.2432,0.3647,-0.9628,-0.4939,-0.2243,0.009,0.4404,1.0054,370
"theta[260]",-2.3608,0.4691,-3.3326,-2.6687,-2.3396,-2.0207,-1.4967,1.0026,1500
"theta[261]",-0.7434,0.3966,-1.5317,-1.0025,-0.7302,-0.4721,-0.0117,1.0035,630
"theta[262]",-0.1199,0.3378,-0.7973,-0.3412,-0.1237,0.1104,0.5277,1.0016,1300
"theta[263]",0.0146,0.3777,-0.7307,-0.2326,0.0245,0.2773,0.7437,1.0016,1200
"theta[264]",1.021,0.4164,0.2673,0.7419,1.0056,1.2854,1.8894,1.004,710
"theta[265]",0.1688,0.349,-0.5519,-0.0542,0.1682,0.3945,0.8457,1.0006,1500
"theta[266]",-0.6826,0.3789,-1.4536,-0.9377,-0.6716,-0.4339,0.0314,1.0014,1400
"theta[267]",0.9978,0.4318,0.1866,0.71,0.9674,1.2912,1.8676,1.0032,1500
"theta[268]",-0.3541,0.343,-1.0453,-0.5838,-0.346,-0.1236,0.3155,1.0051,390
